uri,download link,filename
https://bdebooks.com/books/gajananer-kouto-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/z8XETPJ9CpZFeTD/download,Gajananer Kouto by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/aloukik-noy-loukik-by-prabir-ghosh,dl.bdebooks.com/index.php/s/DD7w5kGmQjw2CAm/download,Aloukik Noi Loukik 1 by Probir ghosh - (BdeBooks.Com).pdf
https://bdebooks.com/books/botuk-buror-chasma-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/PSLes2NGmZHm4o4/download,BotukBabur_Chosma by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/kunjopukurer-kando-by-shirshendu-mukhopadhyay,dl.bdebooks.com/index.php/s/C3mJy6BSB56dkNe/download,Kunjopukurer Kando by Shirshendu Mukhopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/bangla-galpo-bichitra-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/NxiMt5nMgz5jdrZ/download,Bangla Galpo Bichitra by Narayan Gangopadhyay - (BdeBooks.Com).pdf
https://bdebooks.com/books/andhokarer-agontuk-pdf-book-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/DKyTEtdNbdKpPPr/download,Andhokarer Agontuk By Narayan Gangopadhyay (BDeBooks.Com).pdf
https://bdebooks.com/books/somogro-kishor-sahitto-pdf-book-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/s8JkR9o4QnAbaAZ/download,Narayan Gangopadhyayer Kishor Sambhar - (BdeBooks.Com).pdf
https://bdebooks.com/books/lal-mati-pdf-book-by-narayan-gangyopadhyay,dl.bdebooks.com/index.php/s/s8JkR9o4QnAbaAZ/download,Narayan Gangopadhyayer Kishor Sambhar - (BdeBooks.Com).pdf
https://bdebooks.com/books/jhau-banglor-rahasya-pdf-book-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/AmCF4ax34iZtcc3/download,Jhau Banglor Rahasya by Narayan Gangopadhyay (BDeBooks.Com).pdf
https://bdebooks.com/books/narayan-gangopadhyayer-kishor-sambhar-by-narayan-gangopadhyay,dl.bdebooks.com/index.php/s/s8JkR9o4QnAbaAZ/download,Narayan Gangopadhyayer Kishor Sambhar - (BdeBooks.Com).pdf
